Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Source,EID,,relevant,
"Hartman S.A., Lovelace D.M., Linzmeier B.J., Mathewson P.D., Porter W.P.",57210680090;55572518800;57189036184;24071597200;58044236000;,Mechanistic Thermal Modeling of Late Triassic Terrestrial Amniotes Predicts Biogeographic Distribution,2022,Diversity,14,11,973,,,,,10.3390/d14110973,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149445331&doi=10.3390%2fd14110973&partnerID=40&md5=78618daa5a2f0342936663f05ff015be,"The biogeography of terrestrial amniotes is controlled by historical contingency interacting with paleoclimate, morphology and physiological constraints to dispersal. Thermal tolerance is the intersection between organismal requirements and climate conditions which constrains modern organisms to specific locations and was likely a major control on ancient tetrapods. Here, we test the extent of controls exerted by thermal tolerance on the biogeography of 13 Late Triassic tetrapods using a mechanistic modeling program, Niche Mapper. This program accounts for heat and mass transfer into and out of organisms within microclimates. We model our 13 tetrapods in four different climates (cool and warm at low and high latitudes) using environmental conditions that are set using geochemical proxy-based general circulation models. Organismal conditions for the taxa are from proxy-based physiological values and phylogenetic bracketing. We find that thermal tolerances are a sufficient predictor for the latitudinal distribution of our 13 test taxa in the Late Triassic. Our modeled small mammaliamorph can persist at high latitudes with nocturnal activity and daytime burrowing but large pseudosuchians are excluded because they cannot seek nighttime shelter in burrows to retain elevated body temperatures. Our work demonstrates physiological modeling is useful for quantitative testing of the thermal exclusion hypothesis for tetrapods in deep time. © 2022 by the authors.",biogeography; Niche Mapper; paleoecology; thermal modeling; Triassic,biogeography; geographical distribution; paleoecology; prediction; temperature tolerance; tetrapod; Triassic,Article,Final,Scopus,2-s2.0-85149445331,,FALSE,?
"Gregorovicova M., Bartos M., Jensen B., Janacek J., Minne B., Moravec J., Sedmera D.",55813916600;57196049324;35746198000;7003737469;57985821200;14042266100;57202242858;,Anguimorpha as a model group for studying the comparative heart morphology among Lepidosauria: Evolutionary window on the ventricular septation,2022,Ecology and Evolution,12,11,e9476,,,,,10.1002/ece3.9476,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142869232&doi=10.1002%2fece3.9476&partnerID=40&md5=a950469aecec4f922253446c6eb83c14,"The group Anguimorpha represents one of the most unified squamate clades in terms of body plan, ecomorphology, ecophysiology and evolution. On the other hand, the anguimorphs vary between different habitats and ecological niches. Therefore, we focused on the group Anguimorpha to test a possible correlation between heart morphology and ecological niche with respect to phylogenetic position in Squamata with Sphenodon, Salvator, and Pogona as the outgroups. The chosen lepidosaurian species were investigated by microCT. Generally, all lepidosaurs had two well-developed atria with complete interatrial septum and one ventricle divided by ventricular septa to three different areas. The ventricles of all lepidosaurians had a compact layer and abundant trabeculae. The compact layer and trabeculae were developed in accordance with particular ecological niche of the species, the trabeculae in nocturnal animals with low metabolism, such as Sphenodon, Heloderma or Lanthanotus were more massive. On the other hand athletic animals, such as varanids or Salvator, had ventricle compartmentalization divided by three incomplete septa. A difference between varanids and Salvator was found in compact layer thickness: thicker in monitor lizards and possibly linked to their mammalian-like high blood pressure, and the level of ventricular septation. In summary: heart morphology varied among clades in connection with the ecological niche of particular species and it reflects the phylogenetic position in model clade Anguimorpha. In the absence of fossil evidence, this is the closest approach how to understand heart evolution and septation in clade with different cardiac compartmentalization levels. © 2022 The Authors. Ecology and Evolution published by John Wiley & Sons Ltd.",evolutionary traits; Lanthanotus; Salvator; septation; Sphenodon; Varanus; ventricle,,Article,Final,Scopus,2-s2.0-85142869232,,FALSE,
"Mitchell E.G., Evans S.D., Chen Z., Xiao S.",51864007300;56562330200;55861804700;7402022668;,A new approach for investigating spatial relationships of ichnofossils: a case study of Ediacaran–Cambrian animal traces,2022,Paleobiology,48,4,,557,575,,1,10.1017/pab.2022.16,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141800910&doi=10.1017%2fpab.2022.16&partnerID=40&md5=25a83546d578602471cc9526bf7a9216,"Trace fossils record foraging behaviors, the search for resources in patchy environments, of animals in the rock record. Quantification of the strength, density, and nature of foraging behaviors enables the investigation of how these may have changed through time. Here, we present a novel approach to explore such patterns using spatial point process analyses to quantify the scale and strength of ichnofossil spatial distributions on horizontal bedding planes. To demonstrate the utility of this approach, we use two samples from the terminal Ediacaran Shibantan Member in South China (between 551 and 543 Ma) and the early Cambrian Nagaur Sandstone in northwestern India (between 539 and 509 Ma). We find that ichnotaxa on both surfaces exhibited significant nonhomogeneous lateral patterns, with distinct levels of heterogeneity exhibited by different types of trace fossils. In the Shibantan, two ichnotaxa show evidence for mutual positive aggregation over a shared resource, suggesting the ability to focus on optimal resource areas. Trace fossils from the Nagaur Sandstone exhibit more sophisticated foraging behavior, with greater niche differentiation. Critically, mark correlation functions highlight significant spatial autocorrelation of trace fossil orientations, demonstrating the greater ability of these Cambrian tracemakers to focus on optimal patches. Despite potential limitations, these analyses hint at changes in the development and optimization of foraging at the Ediacaran/Cambrian transition and highlight the potential of spatial point process analysis to tease apart subtle differences in behavior in the trace fossil record. © The Author(s), 2022.",,autocorrelation; Cambrian; Ediacaran; fossil record; sandstone; trace fossil; China; India; Nagaur; Rajasthan,Article,Final,Scopus,2-s2.0-85141800910,,TRUE,?*
"Mestre F., Barbosa S., Garrido-García J.A., Pita R., Mira A., Alves P.C., Paupério J., Searle J.B., Beja P.",16686702700;57196936572;56098714300;15081363900;57571352100;35577733000;23975156600;7102976955;6602807125;,"Inferring past refugia and range dynamics through the integration of fossil, niche modelling and genomic data",2022,Journal of Biogeography,49,11,,2064,2076,,2,10.1111/jbi.14492,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138734886&doi=10.1111%2fjbi.14492&partnerID=40&md5=8af4e89f1b276fdd8b88dc01a5a37ddc,"Aim: Reconstructing species' glacial refugial history and demographic changes over time has greatly relied on comparing inferences from multiple methods while not sufficiently acknowledging their limitations. Here, we aim to integrate as fully as possible complementary methods in ecology, genomics and palaeobiology to improve the reconstruction of species biogeographical history. Location: South-western Europe. Taxon: Cabrera vole (Microtus cabrerae). Methods: We compiled and mapped the raw fossil data of the Cabrera vole for the Last Glacial Maximum (LGM) and Mid-Holocene (MH). Alongside, we projected the calibrated ecological niche model (ENM) of the species' current distribution for the LGM, the Younger Dryas and the MH. Complementarily, we used previously obtained Genotyping-by-Sequencing data to evaluate the demographic history and range expansion patterns of all four Evolutionarily Significant Units of the species, in an integrative framework. Results: ENM-inferred refugial areas and genomic modelling consistently supported northern Iberian glacial refugia for the Cabrera vole. This contrasted with the higher fossil abundance of the species in southern and eastern Iberia and southern France from the LGM to the MH. Our results suggest that populations in areas with high fossil abundance went extinct, and were later replaced by northern Iberian populations such that they did not contribute significantly to the current gene pool. Main conclusions: Our integrative approach indicates how the range of the Cabrera vole fluctuated in response to environmental change during and following the LGM. Despite methodological limitations, the ENM and genomic approaches produced generally congruent results. Instead, the fossil record may misrepresent the ancestral distribution of this species and should be considered cautiously for ancestral distribution reconstruction, considering that it also reflects the fossilization conditions. Overall, our study supports the idea that integrative approaches are essential to provide an accurate and well-supported picture of historical refugial areas and range dynamics. © 2022 The Authors. Journal of Biogeography published by John Wiley & Sons Ltd.",demographic inference; ecological niche modelling; fossilization; hindcasting; palaeo-distribution; palaeoclimate; range expansion,demographic history; ecological modeling; environmental change; fossil record; fossilization; genomics; hindcasting; Last Glacial Maximum; niche; paleobiogeography; paleobiology; paleoclimate; range expansion; reconstruction; France; Iberian Peninsula,Article,Final,Scopus,2-s2.0-85138734886,,TRUE,
"Eduardo A.A., Liparini A., Martinez P.A., Gouveia S.F., Riul P.",55366625900;8834022600;36165843700;25225110900;24171514000;,Assessing multitemporal calibration for species distribution models,2022,Ecological Informatics,71,,101787,,,,1,10.1016/j.ecoinf.2022.101787,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137410736&doi=10.1016%2fj.ecoinf.2022.101787&partnerID=40&md5=90ce841c8b479240a5d9e61d881d1e2c,"Species distribution models (SDMs), the most prominent tool in modern biogeography, rely on the assumptions that (i) species distribution is in equilibrium with the environment and (ii) that climatic niche has been conserved throughout recent geological time. These issues affect the spatial and temporal transferability of SDMs, limiting their reliability for applications such as when studying effects of past climate change on species distribution and extinctions. The integration of paleontological and neontological data for a multitemporal calibration and validation of SDMs has been suggested for improving SDMs flexibility. Here, we provide an empirical test for a multitemporal calibration, employing virtual species (i.e., with perfectly-known distributions) and comparing them directly with monotemporal SDMs (i.e., SDM calibrated in a single time layer). We used 1kyr-interval scenarios throughout the last 22 kyr BP for two ecologically different species in South America (a “hot and wet” species and a “cold and dry” species). Models with multitemporal calibration performed similarly to models with monotemporal calibration, regardless of species, sample sizes, and time frame. However, multitemporal calibration performed better when dealing with non-analogous climates among time layers. By improving the temporal SDMs transferability, multitemporal calibration opens new avenues for integrating fossil and recent occurrence data, which may substantially benefit biogeography and paleoecology. © 2022 Elsevier B.V.",Fossil; MaxEnt; Modelling; Niche; Simulations,,Article,Final,Scopus,2-s2.0-85137410736,,TRUE,
"Wang B., Badgley C.",57213266123;6601960090;,Carbon-isotope composition of artiodactyl tooth enamel and its implications for paleodiets,2022,Frontiers in Ecology and Evolution,10,,958859,,,,1,10.3389/fevo.2022.958859,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140626327&doi=10.3389%2ffevo.2022.958859&partnerID=40&md5=a7829e3a8197620d3cee2a9e9fe38f06,"The stable carbon-isotope composition of mammalian tooth enamel is a powerful tool for reconstructing paleodiet and paleoenvironment. Its application in the fossil record relies on a thorough understanding of the isotopic composition of mammalian diets in modern ecosystems. We compiled and evaluated a global dataset of the carbon-isotope values of artiodactyl tooth enamel, supplemented by new samples, for 79 extant species. After correcting for differences in atmospheric carbon-isotope composition, body mass, and digestive physiology, we compared the inferred carbon-isotope values of ingested forage (δ13Cdiet) among seven feeding categories. The artiodactyl herbivore dietary spectrum is expressed through a wide range of δ13Cdiet values, with the most depleted mean value in frugivores and the most enriched in obligate grazers. In general, grazing species have a broader range of isotope values than browsing species, suggesting a wider dietary niche breadth. Notably, variable grazers exhibit a bimodal distribution of δ13Cdiet values, with North American and Asian taxa consuming C3 diets and African taxa consuming C4 diets, reflecting the amount of C4 vegetation in the environment. Variation in δ13Cdiet values also occurs among terrestrial ecoregions and artiodactyl clades. Grassland ecoregions differ significantly from forest ecoregions. We detected a low but significant phylogenetic signal in the mean δ13Cdiet values of extant species, with some of the oldest ruminant lineages having maintained C3 feeding and pure C4 diets being restricted to two bovid clades. Determining variation in δ13Cdiet values in different feeding categories and lineages will help refine paleoecological and paleoenvironmental reconstructions from the rich fossil record of artiodactyls. Copyright © 2022 Wang and Badgley.",herbivore; paleodiet; stable isotope; tooth enamel; ungulates,,Article,Final,Scopus,2-s2.0-85140626327,,FALSE,
"Schulte L., Li C., Lisovski S., Herzschuh U.",57219460912;57561794700;30267694200;8613967400;,Forest-permafrost feedbacks and glacial refugia help explain the unequal distribution of larch across continents,2022,Journal of Biogeography,49,10,,1825,1838,,1,10.1111/jbi.14456,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138287319&doi=10.1111%2fjbi.14456&partnerID=40&md5=7c171cd2812581ba469a705098426ec7,"Aim: The continental-scale distribution of plant functional types, such as evergreen and summergreen needle-leaf forest, is assumed to be determined by contemporary climate. However, the distribution of summergreen needle-leaf forest of larch (Larix Mill.) differs markedly between the continents, despite relatively similar climatic conditions. The reasons for these differences are little understood. Our aim is to identify potential triggers and drivers of the current distribution patterns by comparing species' bioclimatic niches, glacial refugia and postglacial recolonization patterns. Location: Northern hemisphere. Taxon: Species of the genus Larix (Mill.). Methods: We compare species distribution and dominance using species ranges and sites of dominance, as well as their occurrence on modelled permafrost extent, and active layer thickness (ALT). We compare the bioclimatic niches and calculate the niche overlap between species, using the same data in addition to modern climate data. We synthesize pollen, macrofossil and ancient DNA palaeo-evidence of past Larix occurrences of the last 60,000 years and track differences in distribution patterns through time. Results: Bioclimatic niches show large overlaps between Asian larch species and American Larix laricina. The distribution across various degrees of permafrost extent is distinctly different for Asian L. gmelinii and L. cajanderi compared to the other species, whereas the distribution on different depths of ALT is more similar among Asian and American species. Northern glacial refugia for Larix are only present in eastern Asia and Alaska. Main Conclusion: The dominance of summergreen larches in Asia, where evergreen conifers dominate most of the rest of the boreal forests, is dependent on the interaction of several factors which allows Asian L. gmelinii and L. cajanderi to dominate where these factors coincide. These factors include the early postglacial spread out of northern glacial refugia in the absence of competitors as well as a positive feedback mechanism between frozen ground and forest. © 2022 The Authors. Journal of Biogeography published by John Wiley & Sons Ltd.",bioclimatic niche; glacial refugia; larch; Larix; permafrost; phylogeography; postglacial recolonization,coniferous tree; dominance; Northern Hemisphere; permafrost; population distribution; Postglacial; recolonization,Article,Final,Scopus,2-s2.0-85138287319,,TRUE,
"Tang Y., Marston J.M., Fang X.",57798454700;26325555200;57798454800;,"Early millet cultivation, subsistence diversity, and wild plant use at Neolithic Anle, Lower Yangtze, China",2022,Holocene,32,10,,1003,1014,,2,10.1177/09596836221109004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134005715&doi=10.1177%2f09596836221109004&partnerID=40&md5=e46ea08a28b6961202b588f06aa8bcf6,"This study examines the archeological seed assemblage of Anle, a middle Neolithic site located in the Lower Yangtze region, China. The Lower Yangtze is thought to be the origin of domesticated rice and most studies of this region to date have focused on rice domestication and cultivation within its paleoenvironmental setting. In contrast, we highlight here diverse uses of non-rice plant resources. In addition to large quantities of rice remains (carbonized grains and spikelet bases), we identify both foxtail and broomcorn millet, both AMS radiocarbon dated earlier than 5750 cal BP, demonstrating the dispersal of millet cultivation to the Lower Yangtze in the middle Neolithic, earlier than previously securely documented. While most wild species identified in macrobotanical assemblages are traditionally categorized as weeds or incidental intrusions among food residues, many can be exploited for food and medicinal purposes. By analyzing the ecological and functional implications of identified plants, we infer ecological niches of cultivation, gathering, and possible propagation of wild plants as food and medicine. Analyses of diversity and seasonality of plant resources identified show that residents of Anle created a complex seasonal sequence of temporally compatible crops, constructing niches for two crops (rice and millet) and actively structuring opportunities to exploit available wild plant resources in their immediate environment. © The Author(s) 2022.",archaeobotany; food production; millet; niche construction; rice; wild plant foods,cultivation; wild population; China,Article,Final,Scopus,2-s2.0-85134005715,,FALSE,
"García-Morato S., Lobo J.M., Fernández-Jalvo Y., Montalvo C.I., Fernández F.J.",57201700627;56511348500;6603680696;6602813331;36848206000;,"Assessment of the distribution of Pseudoryzomys simplex (Cricetidae, Sigmodontinae) in the Pampean region, central-east Argentina, in the late-Holocene",2022,Holocene,32,10,,1041,1051,,,10.1177/09596836221106966,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133313954&doi=10.1177%2f09596836221106966&partnerID=40&md5=b617269f865ced7ca73fb171a3349190,"Pseudoryzomys simplex (Winge 1887) is a small to medium sized terrestrial oryzomyine rodent (Cricetidae, Sigmodontinae) widely distributed in humid environments of tropical and subtropical lowlands of South America with a marked rainy season. The occurrence of this species in the south-central Pampean region between 4700 and 200 ka cal BP was originally associated with some warm climatic episodes. A later hypothesis points out that P. simplex was a typical element of the Humid Pampa subregion during this period, whose distribution was retracted to the north due to the strong anthropic modifications in the area. To corroborate these hypotheses, the niche of occurrence of P. simplex was calculated to analyse the preferred climatic conditions of contemporaneous and fossil record of the species since 4700 ka cal BP. The derived climatic niche of P. simplex shows a marked preference for areas with seasonality precipitation patterns and tropical/subtropical conditions. Geographical estimations and climatic niches derived revealed a moderate overlapping between contemporaneous and Pampean late-Holocene projection, which in no case includes the localities where fossil data were found. Although a better comprehension of the ecological requirements of the species is necessary to discard a shift in its realized climatic niche, it is probable that P. simplex is able to maintain stable populations under similar conditions to the ones represented by fossil occurrences. The distribution of the species in the Humid Pampa subregion is probably affected by non-climatic factors today which are reducing its contemporaneous realized climatic niche and distorting the derived climatic niches obtained. These results support that this species cannot be considered a reliable palaeoclimatic indicator of more Brazilian conditions in the Humid Pampean subregion during the past. © The Author(s) 2022.",Brazilian false rise rat; climate change; human impact; Humid Pampa; niche modelling; palaeoecological indicator,fossil record,Article,Final,Scopus,2-s2.0-85133313954,,TRUE,
"Gan Z., Jones D.S., Liu X., Sui J., Dong D., Li X.",57885905400;27168730100;57192833340;55683410800;57201612012;55683622600;,Phylogeny and adaptative evolution to chemosynthetic habitat in barnacle (Cirripedia: Thoracica) revealed by mitogenomes,2022,Frontiers in Marine Science,9,,964114,,,,,10.3389/fmars.2022.964114,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139221893&doi=10.3389%2ffmars.2022.964114&partnerID=40&md5=f85a2c0a6d72c7fde9077af7a7cc4b2c,"Thoracican barnacles represent a unique group that has evolved in parallel identical somatotype s (sessile, stalked and asymmetric) in both normal and chemosynthetic environments. Hydrothermal vents and methane seeps are typical extreme deep-sea chemosynthetic habitats for marine macrobenthos. Characterizing the evolutionary history and adaptive strategy of barnacles is fundamentally important for understanding their origin, speciation, and diversification. Herein, we performed a series of phylogenetic analyses focusing on the mitochondrial genomes of the main extant barnacle lineages. Phylogenetic inferences and topology tests contradict the view of the sister relationship between verrucomorphs and balanomorphs, instead revealing that pollicipedids, calanticids and balanomorphs share common ancestor. Selective pressure analyses indicate that the two barnacle lineages of chemosynthetic ecosystems exhibit similar patterns in their evolution of adaptive characters, but have diverse and specific positive substitution sites of mitogenomes. Divergence times suggest that chemosynthetic barnacles originated in the Cenozoic, coinciding with the origins of other metazoan animals in chemosynthetic habitats as well as the Paleogene mass extinction and oceanic anoxic events. It is reasonable to suppose that ecological niche vacancy, sitotaxis, gene specificity in adaptive stress responses, and the subdivision of the ecological niche contributed to the origin and diversification of barnacles in chemosynthetic ecosystems. Copyright © 2022 Gan, Jones, Liu, Sui, Dong and Li.",adaptive evolution; barnacle; chemosynthetic habitat; mitogenome; origin; phylogeny,,Article,Final,Scopus,2-s2.0-85139221893,,FALSE,
Trájer A.J.,55763343600;,"Placing of the second oldest red ochre mine in mainland Europe, Lovas, Hungary, to human, paleoenvironmental and paleobiogeographic context",2022,Quaternary Science Reviews,292,,107670,,,,3,10.1016/j.quascirev.2022.107670,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135951283&doi=10.1016%2fj.quascirev.2022.107670&partnerID=40&md5=86262f320d38210669bf8c58b439b6dc,"Although the 13.2–13.8 ky old Lovas red ochre mine, Central Transdanubia, Hungary is a very important Upper Palaeolithic archaeological site being the second oldest in mainland Europe, we have little knowledge of the conditions under which and how long the pits were cultivated and the post-mining sedimentation processes. The aim of the study was to study certain human circumstances of the mining activities, reveal the former ecological conditions which influenced the sedimentation processes and investigate how the changing climatic conditions led to the formation of the fossil macrofaunal assemblage of the archaeological site. The removal of ca. 25 m3 of pigment material from the pits was equivalent to a maximum of 8750–11042 transport occasions per person, although the pre-transport processing of the material could notably reduce the weight of the transportable pigment and the time demand. Based on the lower thermal comfort limit, mining activities could be performed predominantly in the summer months. In the relatively humid Bølling-Allerød period, the redeposition of the excavated barren material to the cavity could be rapid after the termination of the mining activity. In the Younger Dryas Stadial and the early Holocene, the recharge and covering of the former pits with sediment could be slow and it started to increase only in the mid-Holocene period. The modelling of the potential distribution range of five macrofaunal elements indicates that all the species occurred at the site in the Bølling-Allerød period in the wider environment of the Lovas red ochre mine. The reconstructed boreal forest biome in the time of cultivation of the mine can explain well the dominance of fossil elk bones found in the fossil assemblage. © 2022 The Author(s)",Climate niche; Environmental modelling; Niche-conservativism; Upper pleistocene,Archaeological site; Climate niche; Condition; Environmental model; Hungary; Mining activities; Niche-conservativism; Pleistocene; Sedimentation process; Upper pleistocene; Architecture; archaeology; assembly rule; Bolling; climate conditions; environmental modeling; fossil record; mire; niche; paleobiogeography; paleoenvironment; Paleolithic; Pleistocene; sedimentation; Younger Dryas; Hungary; Transdanubia,Article,Final,Scopus,2-s2.0-85135951283,,FALSE,
"Fischer V., Bennion R.F., Foffa D., MacLaren J.A., McCurry M.R., Melstrom K.M., Bardet N.",36660885700;57202931440;56091125100;57190583151;55010486400;55157657100;6701832334;,Ecological signal in the size and shape of marine amniote teeth,2022,Proceedings of the Royal Society B: Biological Sciences,289,1982,20221214,,,,2,10.1098/rspb.2022.1214,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137750832&doi=10.1098%2frspb.2022.1214&partnerID=40&md5=a9b0da7cb1cbaf5fbdc07c1b8c4e852e,"Amniotes have been a major component of marine trophic chains from the beginning of the Triassic to present day, with hundreds of species. However, inferences of their (palaeo)ecology have mostly been qualitative, making it difficult to track how dietary niches have changed through time and across clades. Here, we tackle this issue by applying a novel geometric morphometric protocol to three-dimensional models of tooth crowns across a wide range of raptorial marine amniotes. Our results highlight the phenomenon of dental simplification and widespread convergence in marine amniotes, limiting the range of tooth crown morphologies. Importantly, we quantitatively demonstrate that tooth crown shape and size are strongly associated with diet, whereas crown surface complexity is not. The maximal range of tooth shapes in both mammals and reptiles is seen in medium-sized taxa; large crowns are simple and restricted to a fraction of the morphospace. We recognize four principal raptorial guilds within toothed marine amniotes (durophages, generalists, flesh cutters and flesh piercers). Moreover, even though all these feeding guilds have been convergently colonized over the last 200 Myr, a series of dental morphologies are unique to the Mesozoic period, probably reflecting a distinct ecosystem structure. © 2022 The Author(s).",Cetacea; feeding guilds; high-density morphometrics; marine reptiles; palaeoecology,cetacean; ecological approach; guild; marine environment; morphometry; paleoecology; reptile; shape analysis; size; tooth; Triassic; trophic cascade; anatomy and histology; animal; ecosystem; evolution; feeding behavior; mammal; reptile; tooth; Animals; Biological Evolution; Ecosystem; Feeding Behavior; Mammals; Reptiles; Tooth,Article,Final,Scopus,2-s2.0-85137750832,,FALSE,
"Chen T., Sun H., Tai K.F., Heng C.K.",57210912479;57206468180;57762154900;24450482500;,Analysis of the barriers to implementing building integrated photovoltaics in Singapore using an interpretive structural modelling approach,2022,Journal of Cleaner Production,365,,132652,,,,4,10.1016/j.jclepro.2022.132652,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132772308&doi=10.1016%2fj.jclepro.2022.132652&partnerID=40&md5=3f3b8412c37da7ea091e42b31faadb77,"Due to global climate change, building-integrated photovoltaics (BIPV) have been recognized as an effective solution to reduce the dependence on fossil fuels and achieve nearly zero-energy buildings. Nevertheless, BIPV implementation remains a niche development. Various studies have discussed the barriers to BIPV implementation. However, very few studies have endeavoured to investigate the complex interrelationships among the barriers to BIPV implementation in Singapore. In this study, the barriers to BIPV implementation in Singapore are first addressed by a literature review and then verified by local academics and industry experts. Additionally, the interpretive structural modelling (ISM) approach is deployed to investigate the contextual interrelationships among the identified barriers. Then, a hierarchical structure of the barriers is developed through the ISM method, and the barriers are categorized by clusters, with cross-impact matrix multiplication applied to the classification technique. In addition to the economic-related issues proposed by previous research, which has concentrated on nonspecific BIPV implementation barriers, the findings show that the lack of professionals and the absence of cost-effective BIPV products and design tools should be given specific attention for BIPV implementation in Singapore. The findings offer valuable information on the overall structure and interrelationships among the barriers to Singapore's BIPV industry, and a three-step plan for unlocking the potential of BIPV implementation is proposed. The findings also have implications for future research and for obtaining effective scientific and administrative solutions to facilitate BIPV deployment in Singapore. © 2022 Elsevier Ltd",Barriers; BIPV; Interpretive structural modelling (ISM); MIC; Renewable energy; Singapore,Climate change; Cost effectiveness; Product design; Zero energy buildings; Barrier; Building integrated photovoltaic; Effective solution; Global climate changes; Interpretive structural modeling; Interpretive structural models; MIC; Modeling approach; Renewable energies; Singapore; Fossil fuels,Article,Final,Scopus,2-s2.0-85132772308,,FALSE,
"Jia S., Xu L., Geng X., Zhang H.",57191283642;57912982300;57913411500;57207482502;,"Comparative evolutionary history of two closely related desert plant, Convolvulus tragacanthoide and Convolvulus gortschakovii (Convolvulaceae) from northwest China",2022,Ecology and Evolution,12,9,e9355,,,,,10.1002/ece3.9355,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139101260&doi=10.1002%2fece3.9355&partnerID=40&md5=43562c408797efdb89ddcec0243c366e,"Desert ecosystems are one of the most fragile ecosystems on Earth. The study of the effects of paleoclimatic and geological changes on genetic diversity, genetic structure, and species differentiation of desert plants is not only helpful in understanding the strategies of adaptation of plants to arid habitats, but can also provide reference for the protection and restoration of vegetation in desert ecosystem. Northwest China is an important part of arid regions in the northern hemisphere. Convolvulus tragacanthoides and Convolvulus gortschakovii are closely related and have similar morphology. Through our field investigation, we found that the annual precipitation of the two species distribution areas is significantly different. Thus, C. tragacanthoides and C. gortschakovii provide an ideal comparative template to investigate the evolutionary processes of closely related species, which have adapted to different niches in response to changes in paleogeography and paleoclimate in northwest China. In this study, we employed phylogeographical approaches (two cpDNA spacers: rpl14–rpl36 and trnT–trnY) and species distribution models to trace the demographic history of C. tragacanthoides and C. gortschakovii, two common subshrubs and small shrubs in northwest China. The results showed the following: (1) Populations of C. tragacanthoides in northwest China were divided into three groups: Tianshan Mountains—Ili Valley, west Yin Mountains—Helan Mountains-Qinglian Mountains, and Qinling Mountains—east Yin Mountains. There was a strong correlation between the distribution of haplotypes and the floristic subkingdom. The three groups corresponded to the Eurasian forest subkingdom, Asian desert flora subkingdom, and Sino-Japanese floristic regions, respectively. Thus, environmental differences among different flora may lead to the genetic differentiation of C. tragacanthoides in China. (2) The west Yin Mountains—Helan Mountains-Qinglian Mountains, and Qinling Mountains—east Yin Mountains were thought to form the ancestral distribution range of C. tragacanthoides. (3) C. tragacanthoides and C. gortschakovii adopted different strategies to cope with the Pleistocene glacial cycle. Convolvulus tragacanthoides contracted to the south during the glacial period and expanded to the north during the interglacial period; and there was no obvious north–south expansion or contraction of C. gortschakovii during the glacial cycle. (4) The interspecific variation of C. tragacanthoides and C. gortschakovii was related to the orogeny in northwest China caused by the uplift of the Tibetan Plateau during Miocene. (5) The 200 mm precipitation line formed the dividing line between the niches occupied by C. tragacanthoides and C. gortschakovii, respectively. In this study, from the perspective of precipitation, the impact of the formation of the summer monsoon limit line on species divergence and speciation is reported, which provides a new perspective for studying the response mechanism of species to the formation of the summer monsoon line, and also provides a clue for predicting how desert plants respond to future environmental changes. © 2022 The Authors. Ecology and Evolution published by John Wiley & Sons Ltd.",200 mm precipitation line; climate change; desert plants; Phylogeographic structure; population dynamics,,Article,Final,Scopus,2-s2.0-85139101260,,FALSE,
