"authors","year","title","doi","kingdom","taxa_res_modelled","num_taxa","time_modelled","time_projected","time_integrated","fossil_modelling","fossil_validation","additional_evidence_integration","additional_evidence","geographic_scale"
"Wang L.; Liu J.; Liu J.; Wei H.; Fang Y.; Wang D.; Chen R.; Gu W.",2023,"REVEALING THE LONGTERM TREND OF THE GLOBALSCALE GINKGO BILOBA DISTRIBUTION AND THE IMPACT OF FUTURE CLIMATE CHANGE BASED ON THE ENSEMBLE MODELING","10.1007/s10531-023-02593-z","Plantae","species",1,0,70,FALSE,FALSE,FALSE,FALSE,NA,"global"
"Trájer A.J.",2023,"INVESTIGATION OF THE POSSIBLE ROLE OF THE CENTRAL PARATETHYS AS A MIGRATION ROUTE AND SPECIATION AREA OF THE ANCESTORS OF MEDITERRANEAN LARROUSSIUS PARAPHLEBOTOMUS AND PHLEBOTOMUS SPECIES","10.1007/s12549-022-00526-2","Animalia","species",8,0,-30600000,FALSE,FALSE,FALSE,FALSE,NA,"regional"
"Trájer A.J.",2023,"INVESTIGATION OF THE POSSIBLE ROLE OF THE CENTRAL PARATETHYS AS A MIGRATION ROUTE AND SPECIATION AREA OF THE ANCESTORS OF MEDITERRANEAN LARROUSSIUS PARAPHLEBOTOMUS AND PHLEBOTOMUS SPECIES","10.1007/s12549-022-00526-2","Animalia","species",8,0,-24800000,FALSE,FALSE,FALSE,FALSE,NA,"regional"
"Trájer A.J.",2023,"INVESTIGATION OF THE POSSIBLE ROLE OF THE CENTRAL PARATETHYS AS A MIGRATION ROUTE AND SPECIATION AREA OF THE ANCESTORS OF MEDITERRANEAN LARROUSSIUS PARAPHLEBOTOMUS AND PHLEBOTOMUS SPECIES","10.1007/s12549-022-00526-2","Animalia","species",8,0,-20300000,FALSE,FALSE,FALSE,FALSE,NA,"regional"
"Trájer A.J.",2023,"INVESTIGATION OF THE POSSIBLE ROLE OF THE CENTRAL PARATETHYS AS A MIGRATION ROUTE AND SPECIATION AREA OF THE ANCESTORS OF MEDITERRANEAN LARROUSSIUS PARAPHLEBOTOMUS AND PHLEBOTOMUS SPECIES","10.1007/s12549-022-00526-2","Animalia","species",8,0,-17250000,FALSE,FALSE,FALSE,FALSE,NA,"regional"
"Trájer A.J.",2023,"INVESTIGATION OF THE POSSIBLE ROLE OF THE CENTRAL PARATETHYS AS A MIGRATION ROUTE AND SPECIATION AREA OF THE ANCESTORS OF MEDITERRANEAN LARROUSSIUS PARAPHLEBOTOMUS AND PHLEBOTOMUS SPECIES","10.1007/s12549-022-00526-2","Animalia","species",8,0,-14500000,FALSE,FALSE,FALSE,FALSE,NA,"regional"
"Trájer A.J.",2023,"INVESTIGATION OF THE POSSIBLE ROLE OF THE CENTRAL PARATETHYS AS A MIGRATION ROUTE AND SPECIATION AREA OF THE ANCESTORS OF MEDITERRANEAN LARROUSSIUS PARAPHLEBOTOMUS AND PHLEBOTOMUS SPECIES","10.1007/s12549-022-00526-2","Animalia","species",8,0,-12150000,FALSE,FALSE,FALSE,FALSE,NA,"regional"
"Trájer A.J.",2023,"INVESTIGATION OF THE POSSIBLE ROLE OF THE CENTRAL PARATETHYS AS A MIGRATION ROUTE AND SPECIATION AREA OF THE ANCESTORS OF MEDITERRANEAN LARROUSSIUS PARAPHLEBOTOMUS AND PHLEBOTOMUS SPECIES","10.1007/s12549-022-00526-2","Animalia","species",8,0,-9400000,FALSE,FALSE,FALSE,FALSE,NA,"regional"
"Mas B.; Riera S.; Allué E.",2023,"MODELLING MEDITERRANEAN OAK PALAEOLANDSCAPES USING THE MAXENT MODEL ALGORITHM THE CASE OF THE NE IBERIA UNDER THE MIDDLE HOLOCENE CLIMATIC SCENARIO","10.1016/j.ecoinf.2023.101984","Plantae","species",2,0,0,FALSE,FALSE,FALSE,TRUE,"Antracological Data","regional"
"Trájer A.J.",2023,"ECOLOGICAL EVALUATION OF THE DEVELOPMENT OF NEANDERTHAL NICHE EXPLOITATION","10.1016/j.quascirev.2023.108127","Animalia","species",1,0,80,FALSE,FALSE,FALSE,TRUE,"Interspecific co-occurrence","regional"
"Trájer A.J.",2023,"ECOLOGICAL EVALUATION OF THE DEVELOPMENT OF NEANDERTHAL NICHE EXPLOITATION","10.1016/j.quascirev.2023.108127","Animalia","species",1,-130,-130,FALSE,TRUE,FALSE,TRUE,"Interspecific co-occurrence","regional"
"Trájer A.J.",2023,"ECOLOGICAL EVALUATION OF THE DEVELOPMENT OF NEANDERTHAL NICHE EXPLOITATION","10.1016/j.quascirev.2023.108127","Animalia","species",1,-787,-787,FALSE,TRUE,FALSE,TRUE,"Interspecific co-occurrence","regional"
"Trájer A.J.",2023,"ECOLOGICAL EVALUATION OF THE DEVELOPMENT OF NEANDERTHAL NICHE EXPLOITATION","10.1016/j.quascirev.2023.108127","Animalia","species",1,-1770,-1770,FALSE,TRUE,FALSE,TRUE,"Interspecific co-occurrence","regional"
"Guevara L.",2023,"A NEW SPECIES OF SMALLEARED SHREW SORICIDAE CRYPTOTIS FROM EL TRIUNFO BIOSPHERE RESERVE CHIAPAS MEXICO","10.1093/jmammal/gyac125","Animalia","genus",1,-22000,0,FALSE,TRUE,FALSE,TRUE,"Morphology","regional"
"Guevara L.",2023,"A NEW SPECIES OF SMALLEARED SHREW SORICIDAE CRYPTOTIS FROM EL TRIUNFO BIOSPHERE RESERVE CHIAPAS MEXICO","10.1093/jmammal/gyac125","Animalia","genus",1,-22000,-22000,FALSE,TRUE,TRUE,TRUE,"Morphology","regional"
"Naranjo A.A.; Folk R.A.; Gitzendanner M.A.; Soltis D.E.; Soltis P.S.",2023,"ANCESTRAL AREA ANALYSES REVEAL PLEISTOCENEINFLUENCED EVOLUTION IN A CLADE OF COASTAL PLAIN ENDEMIC PLANTS","10.1111/jbi.14541","Plantae","clade",6,0,-130000,FALSE,FALSE,FALSE,TRUE,"Phylogeny","regional"
"Naranjo A.A.; Folk R.A.; Gitzendanner M.A.; Soltis D.E.; Soltis P.S.",2023,"ANCESTRAL AREA ANALYSES REVEAL PLEISTOCENEINFLUENCED EVOLUTION IN A CLADE OF COASTAL PLAIN ENDEMIC PLANTS","10.1111/jbi.14541","Plantae","clade",6,0,-22000,FALSE,FALSE,FALSE,TRUE,"Phylogeny","regional"
"Masuda K.; Setoguchi H.; Nagasawa K.; Ishihara M.I.; Sawa K.; Horie K.; Tsuboi H.; Fukumoto S.; Tango T.; Sakaguchi S.",2023,"REAREDGE DAYLILY POPULATIONS SHOW LEGACIES OF HABITAT FRAGMENTATION DUE TO THE HOLOCENE CLIMATE WARMING","10.1111/jbi.14552","Plantae","species",1,0,-21000,FALSE,FALSE,FALSE,TRUE,"Genetic","regional"
"Masuda K.; Setoguchi H.; Nagasawa K.; Ishihara M.I.; Sawa K.; Horie K.; Tsuboi H.; Fukumoto S.; Tango T.; Sakaguchi S.",2023,"REAREDGE DAYLILY POPULATIONS SHOW LEGACIES OF HABITAT FRAGMENTATION DUE TO THE HOLOCENE CLIMATE WARMING","10.1111/jbi.14552","Plantae","species",1,0,-6000,FALSE,FALSE,FALSE,TRUE,"Genetic","regional"
"Walkup D.K.; Lawing A.M.; Hibbitts T.J.; Ryberg W.A.",2022,"BIOGEOGRAPHIC CONSEQUENCES OF SHIFTING CLIMATE FOR THE WESTERN MASSASAUGA SISTRURUS TERGEMINUS","10.1002/ece3.8599","Animalia","species",1,0,-21000,FALSE,FALSE,FALSE,FALSE,NA,"regional"
"Walkup D.K.; Lawing A.M.; Hibbitts T.J.; Ryberg W.A.",2022,"BIOGEOGRAPHIC CONSEQUENCES OF SHIFTING CLIMATE FOR THE WESTERN MASSASAUGA SISTRURUS TERGEMINUS","10.1002/ece3.8599","Animalia","species",1,0,-6000,FALSE,FALSE,FALSE,FALSE,NA,"regional"
"Walkup D.K.; Lawing A.M.; Hibbitts T.J.; Ryberg W.A.",2022,"BIOGEOGRAPHIC CONSEQUENCES OF SHIFTING CLIMATE FOR THE WESTERN MASSASAUGA SISTRURUS TERGEMINUS","10.1002/ece3.8599","Animalia","species",1,0,0,FALSE,FALSE,FALSE,FALSE,NA,"regional"
"Walkup D.K.; Lawing A.M.; Hibbitts T.J.; Ryberg W.A.",2022,"BIOGEOGRAPHIC CONSEQUENCES OF SHIFTING CLIMATE FOR THE WESTERN MASSASAUGA SISTRURUS TERGEMINUS","10.1002/ece3.8599","Animalia","species",1,0,50,FALSE,FALSE,FALSE,FALSE,NA,"regional"
"Walkup D.K.; Lawing A.M.; Hibbitts T.J.; Ryberg W.A.",2022,"BIOGEOGRAPHIC CONSEQUENCES OF SHIFTING CLIMATE FOR THE WESTERN MASSASAUGA SISTRURUS TERGEMINUS","10.1002/ece3.8599","Animalia","species",1,0,70,FALSE,FALSE,FALSE,FALSE,NA,"regional"
"Hanes M.M.; Shell S.; Shimu T.; Crist C.; Machkour-M’Rabet S.",2022,"THE PHYLOGEOGRAPHIC HISTORY OF MEGISTOSTEGIUM MALVACEAE IN THE DRY SPINY THICKETS OF SOUTHWESTERN MADAGASCAR USING RADSEQ DATA AND ECOLOGICAL NICHE MODELING","10.1002/ece3.8632","Plantae","species",3,0,0,FALSE,FALSE,FALSE,TRUE,"Genetic","regional"
"Hanes M.M.; Shell S.; Shimu T.; Crist C.; Machkour-M’Rabet S.",2022,"THE PHYLOGEOGRAPHIC HISTORY OF MEGISTOSTEGIUM MALVACEAE IN THE DRY SPINY THICKETS OF SOUTHWESTERN MADAGASCAR USING RADSEQ DATA AND ECOLOGICAL NICHE MODELING","10.1002/ece3.8632","Plantae","species",3,0,-22000,FALSE,FALSE,FALSE,TRUE,"Genetic","regional"
"Hanes M.M.; Shell S.; Shimu T.; Crist C.; Machkour-M’Rabet S.",2022,"THE PHYLOGEOGRAPHIC HISTORY OF MEGISTOSTEGIUM MALVACEAE IN THE DRY SPINY THICKETS OF SOUTHWESTERN MADAGASCAR USING RADSEQ DATA AND ECOLOGICAL NICHE MODELING","10.1002/ece3.8632","Plantae","species",3,0,70,FALSE,FALSE,FALSE,TRUE,"Genetic","regional"
"Ames-Martínez F.N.; Luna-Vega I.; Dieringer G.; Rodríguez-Ramírez E.",2022,"THE EFFECT OF CLIMATE CHANGE ON ARCTOTERTIARY MEXICAN BEECH FORESTS EXPLORING THEIR PAST PRESENT AND FUTURE DISTRIBUTION","10.1002/ece3.9228","Plantae","species",1,0,-21000,FALSE,FALSE,FALSE,FALSE,NA,"regional"
"Ames-Martínez F.N.; Luna-Vega I.; Dieringer G.; Rodríguez-Ramírez E.",2022,"THE EFFECT OF CLIMATE CHANGE ON ARCTOTERTIARY MEXICAN BEECH FORESTS EXPLORING THEIR PAST PRESENT AND FUTURE DISTRIBUTION","10.1002/ece3.9228","Plantae","species",1,0,50,FALSE,FALSE,FALSE,FALSE,NA,"regional"
"Cicero C.; Mason N.A.; Oong Z.; Title P.O.; Morales M.E.; Feldheim K.A.; Koo M.S.; Bowie R.C.K.",2022,"DEEP ECOMORPHOLOGICAL AND GENETIC DIVERGENCE IN STELLERS JAYS CYANOCITTA STELLERI AVES CORVIDAE","10.1002/ece3.9517","Animalia","species",1,0,-21000,FALSE,FALSE,FALSE,TRUE,"Morphometrics, DNA microsatellite markers, population genetics","regional"
"Cicero C.; Mason N.A.; Oong Z.; Title P.O.; Morales M.E.; Feldheim K.A.; Koo M.S.; Bowie R.C.K.",2022,"DEEP ECOMORPHOLOGICAL AND GENETIC DIVERGENCE IN STELLERS JAYS CYANOCITTA STELLERI AVES CORVIDAE","10.1002/ece3.9517","Animalia","species",1,0,50,FALSE,FALSE,FALSE,TRUE,"Morphometrics, DNA microsatellite markers, population genetics","regional"
"Shameer T.T.; Nittu G.; Mohan G.; Backer S.J.; Khedkar G.D.; Sanil R.",2022,"CONSEQUENCES OF CLIMATE CHANGE IN ALLOPATRIC SPECIATION AND ENDEMISM MODELING THE BIOGEOGRAPHY OF DRAVIDOGECKO","10.1007/s40808-021-01284-4","Animalia","genus",1,0,-120000,FALSE,FALSE,FALSE,TRUE,"Genetics","regional"
"Shameer T.T.; Nittu G.; Mohan G.; Backer S.J.; Khedkar G.D.; Sanil R.",2022,"CONSEQUENCES OF CLIMATE CHANGE IN ALLOPATRIC SPECIATION AND ENDEMISM MODELING THE BIOGEOGRAPHY OF DRAVIDOGECKO","10.1007/s40808-021-01284-4","Animalia","genus",1,0,0,FALSE,FALSE,FALSE,TRUE,"Genetics","regional"
"Shameer T.T.; Nittu G.; Mohan G.; Backer S.J.; Khedkar G.D.; Sanil R.",2022,"CONSEQUENCES OF CLIMATE CHANGE IN ALLOPATRIC SPECIATION AND ENDEMISM MODELING THE BIOGEOGRAPHY OF DRAVIDOGECKO","10.1007/s40808-021-01284-4","Animalia","genus",1,0,70,FALSE,FALSE,FALSE,TRUE,"Genetics","regional"
"Samal P.; Srivastava J.; Singarasubramanian S.R.; Saraf P.N.; Charles B.",2022,"ENSEMBLE MODELING APPROACH TO PREDICT THE PAST AND FUTURE CLIMATE SUITABILITY FOR TWO MANGROVE SPECIES ALONG THE COASTAL WETLANDS OF PENINSULAR INDIA","10.1016/j.ecoinf.2022.101819","Plantae","species",2,0,-6000,FALSE,FALSE,FALSE,FALSE,NA,"regional"
"Samal P.; Srivastava J.; Singarasubramanian S.R.; Saraf P.N.; Charles B.",2022,"ENSEMBLE MODELING APPROACH TO PREDICT THE PAST AND FUTURE CLIMATE SUITABILITY FOR TWO MANGROVE SPECIES ALONG THE COASTAL WETLANDS OF PENINSULAR INDIA","10.1016/j.ecoinf.2022.101819","Plantae","species",2,0,50,FALSE,FALSE,FALSE,FALSE,NA,"regional"
"Xiao S.; Li S.; Wang X.; Chen L.; Su T.",2022,"CEDRUS DISTRIBUTION CHANGE PAST PRESENT AND FUTURE","10.1016/j.ecolind.2022.109159","Plantae","genus",1,0,-21000,FALSE,FALSE,FALSE,FALSE,NA,"cross-continental"
"Xiao S.; Li S.; Wang X.; Chen L.; Su T.",2022,"CEDRUS DISTRIBUTION CHANGE PAST PRESENT AND FUTURE","10.1016/j.ecolind.2022.109159","Plantae","genus",1,0,-6000,FALSE,FALSE,FALSE,FALSE,NA,"cross-continental"
"Xiao S.; Li S.; Wang X.; Chen L.; Su T.",2022,"CEDRUS DISTRIBUTION CHANGE PAST PRESENT AND FUTURE","10.1016/j.ecolind.2022.109159","Plantae","genus",1,0,50,FALSE,FALSE,FALSE,FALSE,NA,"cross-continental"
"Barrandeguy M.E.; Mogni V.; Zerda H.; Savino C.; Dusset F.; Prado D.E.; García M.V.",2022,"UNDERSTANDING THE SPATIOTEMPORAL DYNAMICS OF ANADENANTHERA COLUBRINA VAR CEBIL IN THE BIOGEOGRAPHICAL CONTEXT OF NEOTROPICAL SEASONALLY DRY FOREST","10.1016/j.flora.2022.152149","Plantae","species",1,0,0,FALSE,FALSE,TRUE,TRUE,"Genetics (Haplotypes)","regional"
"Barrandeguy M.E.; Mogni V.; Zerda H.; Savino C.; Dusset F.; Prado D.E.; García M.V.",2022,"UNDERSTANDING THE SPATIOTEMPORAL DYNAMICS OF ANADENANTHERA COLUBRINA VAR CEBIL IN THE BIOGEOGRAPHICAL CONTEXT OF NEOTROPICAL SEASONALLY DRY FOREST","10.1016/j.flora.2022.152149","Plantae","species",1,0,-6000,FALSE,FALSE,TRUE,TRUE,"Genetics (Haplotypes)","regional"
"Barrandeguy M.E.; Mogni V.; Zerda H.; Savino C.; Dusset F.; Prado D.E.; García M.V.",2022,"UNDERSTANDING THE SPATIOTEMPORAL DYNAMICS OF ANADENANTHERA COLUBRINA VAR CEBIL IN THE BIOGEOGRAPHICAL CONTEXT OF NEOTROPICAL SEASONALLY DRY FOREST","10.1016/j.flora.2022.152149","Plantae","species",1,0,-21000,FALSE,FALSE,TRUE,TRUE,"Genetics (Haplotypes)","regional"
"Barrandeguy M.E.; Mogni V.; Zerda H.; Savino C.; Dusset F.; Prado D.E.; García M.V.",2022,"UNDERSTANDING THE SPATIOTEMPORAL DYNAMICS OF ANADENANTHERA COLUBRINA VAR CEBIL IN THE BIOGEOGRAPHICAL CONTEXT OF NEOTROPICAL SEASONALLY DRY FOREST","10.1016/j.flora.2022.152149","Plantae","species",1,0,-130000,FALSE,FALSE,TRUE,TRUE,"Genetics (Haplotypes)","regional"
"Renny M.; Acosta M.C.; Sérsic A.N.",2022,"ANCIENT CLIMATE CHANGES AND ANDES UPLIFT RATHER THAN LAST GLACIAL MAXIMUM AFFECTED DISTRIBUTION AND GENETIC DIVERSITY PATTERNS OF THE SOUTHERNMOST MYCOHETEROTROPHIC PLANT ARACHNITIS UNIFLORA PHIL CORSIACEAE","10.1016/j.gloplacha.2021.103701","Plantae","species",1,0,-787000,FALSE,FALSE,FALSE,TRUE,"Phylogenetic Analysis; Bayesian spatio-temporal diffusion analysis; Population demographics; Haplotype Genealogy","continental"
"Renny M.; Acosta M.C.; Sérsic A.N.",2022,"ANCIENT CLIMATE CHANGES AND ANDES UPLIFT RATHER THAN LAST GLACIAL MAXIMUM AFFECTED DISTRIBUTION AND GENETIC DIVERSITY PATTERNS OF THE SOUTHERNMOST MYCOHETEROTROPHIC PLANT ARACHNITIS UNIFLORA PHIL CORSIACEAE","10.1016/j.gloplacha.2021.103701","Plantae","species",1,0,-125000,FALSE,FALSE,FALSE,TRUE,"Phylogenetic Analysis; Bayesian spatio-temporal diffusion analysis; Population demographics; Haplotype Genealogy","continental"
"Renny M.; Acosta M.C.; Sérsic A.N.",2022,"ANCIENT CLIMATE CHANGES AND ANDES UPLIFT RATHER THAN LAST GLACIAL MAXIMUM AFFECTED DISTRIBUTION AND GENETIC DIVERSITY PATTERNS OF THE SOUTHERNMOST MYCOHETEROTROPHIC PLANT ARACHNITIS UNIFLORA PHIL CORSIACEAE","10.1016/j.gloplacha.2021.103701","Plantae","species",1,0,-21000,FALSE,FALSE,FALSE,TRUE,"Phylogenetic Analysis; Bayesian spatio-temporal diffusion analysis; Population demographics; Haplotype Genealogy","continental"
"Renny M.; Acosta M.C.; Sérsic A.N.",2022,"ANCIENT CLIMATE CHANGES AND ANDES UPLIFT RATHER THAN LAST GLACIAL MAXIMUM AFFECTED DISTRIBUTION AND GENETIC DIVERSITY PATTERNS OF THE SOUTHERNMOST MYCOHETEROTROPHIC PLANT ARACHNITIS UNIFLORA PHIL CORSIACEAE","10.1016/j.gloplacha.2021.103701","Plantae","species",1,0,0,FALSE,FALSE,FALSE,TRUE,"Phylogenetic Analysis; Bayesian spatio-temporal diffusion analysis; Population demographics; Haplotype Genealogy","continental"
"Wendt J.A.F.; McWethy D.B.; Widga C.; Shuman B.N.",2022,"LARGESCALE CLIMATIC DRIVERS OF BISON DISTRIBUTION AND ABUNDANCE IN NORTH AMERICA SINCE THE LAST GLACIAL MAXIMUM","10.1016/j.quascirev.2022.107472","Animalia","species",1,-19500,-19500,FALSE,TRUE,FALSE,FALSE,NA,"continental"
"Wendt J.A.F.; McWethy D.B.; Widga C.; Shuman B.N.",2022,"LARGESCALE CLIMATIC DRIVERS OF BISON DISTRIBUTION AND ABUNDANCE IN NORTH AMERICA SINCE THE LAST GLACIAL MAXIMUM","10.1016/j.quascirev.2022.107472","Animalia","species",1,-18500,-18500,FALSE,TRUE,FALSE,FALSE,NA,"continental"
"Wendt J.A.F.; McWethy D.B.; Widga C.; Shuman B.N.",2022,"LARGESCALE CLIMATIC DRIVERS OF BISON DISTRIBUTION AND ABUNDANCE IN NORTH AMERICA SINCE THE LAST GLACIAL MAXIMUM","10.1016/j.quascirev.2022.107472","Animalia","species",1,-17500,-17500,FALSE,TRUE,FALSE,FALSE,NA,"continental"
"Wendt J.A.F.; McWethy D.B.; Widga C.; Shuman B.N.",2022,"LARGESCALE CLIMATIC DRIVERS OF BISON DISTRIBUTION AND ABUNDANCE IN NORTH AMERICA SINCE THE LAST GLACIAL MAXIMUM","10.1016/j.quascirev.2022.107472","Animalia","species",1,-16500,-16500,FALSE,TRUE,FALSE,FALSE,NA,"continental"
"Wendt J.A.F.; McWethy D.B.; Widga C.; Shuman B.N.",2022,"LARGESCALE CLIMATIC DRIVERS OF BISON DISTRIBUTION AND ABUNDANCE IN NORTH AMERICA SINCE THE LAST GLACIAL MAXIMUM","10.1016/j.quascirev.2022.107472","Animalia","species",1,-15500,-15500,FALSE,TRUE,FALSE,FALSE,NA,"continental"
"Wendt J.A.F.; McWethy D.B.; Widga C.; Shuman B.N.",2022,"LARGESCALE CLIMATIC DRIVERS OF BISON DISTRIBUTION AND ABUNDANCE IN NORTH AMERICA SINCE THE LAST GLACIAL MAXIMUM","10.1016/j.quascirev.2022.107472","Animalia","species",1,-14500,-14500,FALSE,TRUE,FALSE,FALSE,NA,"continental"
"Wendt J.A.F.; McWethy D.B.; Widga C.; Shuman B.N.",2022,"LARGESCALE CLIMATIC DRIVERS OF BISON DISTRIBUTION AND ABUNDANCE IN NORTH AMERICA SINCE THE LAST GLACIAL MAXIMUM","10.1016/j.quascirev.2022.107472","Animalia","species",1,-13500,-13500,FALSE,TRUE,FALSE,FALSE,NA,"continental"
"Wendt J.A.F.; McWethy D.B.; Widga C.; Shuman B.N.",2022,"LARGESCALE CLIMATIC DRIVERS OF BISON DISTRIBUTION AND ABUNDANCE IN NORTH AMERICA SINCE THE LAST GLACIAL MAXIMUM","10.1016/j.quascirev.2022.107472","Animalia","species",1,-12500,-12500,FALSE,TRUE,FALSE,FALSE,NA,"continental"
"Wendt J.A.F.; McWethy D.B.; Widga C.; Shuman B.N.",2022,"LARGESCALE CLIMATIC DRIVERS OF BISON DISTRIBUTION AND ABUNDANCE IN NORTH AMERICA SINCE THE LAST GLACIAL MAXIMUM","10.1016/j.quascirev.2022.107472","Animalia","species",1,-11500,-11500,FALSE,TRUE,FALSE,FALSE,NA,"continental"
"Wendt J.A.F.; McWethy D.B.; Widga C.; Shuman B.N.",2022,"LARGESCALE CLIMATIC DRIVERS OF BISON DISTRIBUTION AND ABUNDANCE IN NORTH AMERICA SINCE THE LAST GLACIAL MAXIMUM","10.1016/j.quascirev.2022.107472","Animalia","species",1,-10500,-10500,FALSE,TRUE,FALSE,FALSE,NA,"continental"
"Wendt J.A.F.; McWethy D.B.; Widga C.; Shuman B.N.",2022,"LARGESCALE CLIMATIC DRIVERS OF BISON DISTRIBUTION AND ABUNDANCE IN NORTH AMERICA SINCE THE LAST GLACIAL MAXIMUM","10.1016/j.quascirev.2022.107472","Animalia","species",1,-9500,-9500,FALSE,TRUE,FALSE,FALSE,NA,"continental"
"Wendt J.A.F.; McWethy D.B.; Widga C.; Shuman B.N.",2022,"LARGESCALE CLIMATIC DRIVERS OF BISON DISTRIBUTION AND ABUNDANCE IN NORTH AMERICA SINCE THE LAST GLACIAL MAXIMUM","10.1016/j.quascirev.2022.107472","Animalia","species",1,-8500,-8500,FALSE,TRUE,FALSE,FALSE,NA,"continental"
